gene,D7_log2FC,D14_log2FC,D7_padj,recovery_ratio
Akr1b3,1.63476713731833,0.109667941451083,2.40422274365464e-20,0.9329152519966959
Ptma,1.62918280660816,0.577018448338597,9.52239269394546e-09,0.6458233870391087
Tnfsf12,1.6164091038791,-0.0389386650450001,1.39634376988822e-05,0.9759103899182737
St3gal4,1.61374325628898,-0.311278204914446,0.0094791340693592,0.8071079747652844
Fam177a,1.59854091665554,-0.327212885348727,0.0052235823108298,0.7953052799966358
Prdx4,1.59046549459362,0.105704806938206,8.668575645547731e-09,0.9335384468902203
Gm4739,1.57599110769515,0.036934405077953,0.0009153101278208,0.9765643315513571
Tuba1c,1.56754640899393,0.0662211918420005,1.92776199483787e-06,0.9577548763710912
Dmac1,1.56418157305133,0.370439158108938,0.00016894012051,0.7631738127522477
Tmem14c,1.5533355720936,0.614347800533219,1.47847275246766e-12,0.6044976941426794
Ptgr1,1.54357109752911,-0.651342569253132,0.008841896885007,0.5780287864318161
Gm4316,1.53899766310535,-0.0881461042010096,0.0013068991258835,0.9427249915226312
Chek2,1.53744612048158,0.690535680122189,3.33275797494781e-05,0.5508553627193843
Psmg4,1.53641264793013,0.313409933083267,0.0369500529757869,0.7960118764281876
Rps16-ps2,1.52906920886431,0.753244211567245,0.0072199558901438,0.5073838337725052
Gpx1,1.52506721260507,0.491014029092163,1.07159936796289e-07,0.6780377775918289
Upf1,1.51058592906793,-0.605183316920704,0.015454231451851,0.5993718031690408
Lsp1,1.4872620818299,0.45076133670435,0.006818808770559,0.6969186922658974
Rpl28-ps1,1.48658758214852,0.367133961392567,0.0010629492844702,0.7530357674171074
Enox2,1.48173878045874,-0.563300663644386,0.0072884433641769,0.6198380773499155
Acaa2,1.47498896005348,0.361535589201874,0.0050138215388676,0.7548892913823806
Aldh3b1,1.46796879793917,0.156746817866047,0.001473944230981,0.8932219689641235
Hnrnpa1,1.46477137750393,0.441274362650759,0.0330903888788806,0.6987418177144338
1810058I24Rik,1.46060545861394,0.585973816816132,0.005165024233249,0.5988144413945986
1600002K03Rik,1.4581916432061,0.502848624465465,0.0207640401997995,0.6551560099742029
Txndc17,1.45348197173127,0.585363210305672,0.0010437602182192,0.5972683379014088
Mknk2,1.45139943807365,-0.486688533423369,0.013971801279425,0.6646763663700189
H2az1,1.45040119512574,0.620310840396199,0.0198432530700251,0.5723177542318405
Ap2s1,1.44611698738079,0.309578586247605,0.0004984002582542,0.7859242447540055
Cenpx,1.4440162649459,0.499364303931008,0.0055862852713389,0.6541837401327909
Commd1,1.43556493872448,0.332628381565923,0.0328421956355086,0.7682944375463306
Gng5,1.42409038895497,0.654119188960313,0.0067861060640595,0.5406757927491384
Gpr137b,1.42230810292809,0.684893746405219,0.000244811238006,0.5184631620988196
Nqo2,1.41716286325437,-0.675724172586395,5.6442088521966e-06,0.5231852385443806
Sptssa,1.4148972710211,0.690398159544871,7.90671383851584e-05,0.5120506812154455
Rfc4,1.41313669877368,0.584725114239534,0.0452949051402872,0.5862218320796859
Mthfs,1.41220684582898,0.309720531659856,0.0439278938122986,0.7806833095487178
Nipsnap3b,1.40769849176187,0.320068600868317,0.0068918138979878,0.772629861620637
Tk1,1.4056911775223,0.45387968380784,0.0007055060405945,0.6771128032489628
