gene,D1_fc,D4_fc,D7_fc,D14_fc,D1_padj,D4_padj,D7_padj,D14_padj,peak_timepoint,direction,pattern
Gm37101,-0.609013029715516,-1.08514530309299,-2.39176175367103,-0.725590744488527,0.763214753042994,0.464822146635862,0.0416193167537284,0.65618656280962,D7,down,other
Zfp810,-2.14974280979902,-0.687651042406866,-0.251728946802356,0.217318056715358,6.52715280201469e-06,0.246436410045084,0.678206397661679,0.797833959986811,D1,down,acute_D1
Olfr482,0.704113237941811,-0.807972281199248,-0.687247984607985,-4.41635394531356,0.882769024148384,0.829034655096527,0.790544753913189,0.0407923619473259,D14,down,late_D14
Gm47087,-4.29619274119212,-0.765594048362077,-2.61282314771403,-1.5551617604552,0.0001489562290152,0.651399612936485,0.0290062175566927,0.242995070533382,D1,down,other
Npy,2.22386581525733,-3.62077934661878,-3.19422220234523,-3.11759135001065,0.147042446869524,0.0057001955254481,0.0197674522204525,0.0252108949686562,D4,down,other
Gphn,-0.184916759461711,-1.09329212834147,-0.464294887048765,-0.0910814855221055,0.859735570440586,0.0302428792266093,0.393716533222775,0.930430892446023,D4,down,other
Chd5,-4.80723792268091,-4.50685557713713,-5.70108105997703,-4.42472815803071,0.0032664366886845,0.0033133011266963,0.0007238990283148,0.0055129613145711,D7,down,other
Gabrg2,-1.74939265033393,-3.57995287190367,-5.10598748666953,-2.45463122114624,0.108172421052154,5.42884210976203e-05,1.68970168952842e-08,0.0109286877779819,D7,down,other
Wbp1,-1.18553076590577,-0.478727152489674,0.0897654342594436,-2.09024592083128,0.347382138000804,0.756873053272815,0.952260887996615,0.0485954492580982,D14,down,late_D14
Ak2,0.794457873876163,0.985554963035366,0.574045619430071,0.819993846660877,0.0010745194528998,2.24148181707098e-05,0.0259129012819006,0.0008072400225972,D4,up,sustained_up
Usp11,-1.85536959433141,-2.13303287940821,-1.27712847990279,-0.543146712575469,0.001632096282074,0.000162266217135,0.0409412108855746,0.485107997310158,D4,down,other
Rspry1,-0.398696824217802,-0.764829026704162,-0.204361794952376,-0.552512512013972,0.369369512743792,0.0302428792266093,0.606872108089338,0.153584794899101,D4,down,other
Tmem151b,-3.58415907095067,-4.08822778259946,-2.09972277491126,-2.71063152412381,0.0052398237248425,0.0008873288059355,0.118840652395875,0.0464226402156387,D4,down,acute_D1
Ptprr,-4.08427804845753,-3.23343533998447,-3.66366062324564,1.13143007895024,0.0002050529758242,0.0033314600583312,0.0006355357208073,0.374203701727186,D1,down,other
Vmn2r105,-0.579293322573317,0.332218583561445,-5.11642162768146,7.31390336503552,0.919956511394139,0.943382388279974,0.0595852335815247,0.0052349746118642,D14,up,late_D14
E130307A14Rik,-1.87732833217286,-1.98699240864029,-1.29287461989696,0.603424269044629,2.22275360268889e-12,2.36888375577028e-14,4.18682522501281e-06,0.0910479629425852,D4,down,other
Gm10291,3.1293646088202,2.08184068277431,-1.03686224238149,4.76995806008538,0.153528889351331,1.0,0.627907049641008,0.0301094127141321,D14,up,late_D14
Gm37602,1.21941643293909,-0.312194187389824,-4.94565048662378,-2.0622719169456,0.656674535938532,0.923757438759839,0.0142261811546534,0.311917531301102,D7,down,other
Timm50,1.05091048381868,0.566855614988799,0.472439730883837,0.280451162459974,0.0004470111952902,0.0903194797133829,0.15061779824736,0.491511816506549,D1,up,acute_D1
Nell1,0.322407312482495,-4.74916514274612,-6.0529935393527,0.179972476916855,0.950026259700508,0.0103653805321248,0.0024923123143883,0.971445720496873,D7,down,other
Nedd4l,-0.0648530163892121,-1.79583981889117,-0.150527168693679,-1.57085236061446,0.976291285453034,0.0011117121919122,0.837859301574669,0.0065130117395929,D4,down,other
Gm43605,0.758842153650995,-1.75621060218905,-5.79957434942302,4.15625190420937,0.838949003741959,0.479999622111964,0.0100241592682136,0.0881634440159595,D7,down,other
Usf2,-1.120179187521,-0.567580224575641,-0.300364736989481,0.0594178449635826,0.0011486503077106,0.141609695560723,0.440924079605443,0.937771631309225,D1,down,acute_D1
Rbpj,0.762950333092527,0.856597335756736,0.262070739593719,1.2890533912541,0.225102810917208,0.13836225276391,0.673303885773389,0.0176516358731991,D14,up,late_D14
Sh3glb2,-0.245120774241146,-1.23387101700708,-0.309916167039339,-0.724036012724124,0.80754227368036,0.0202536805265966,0.610030597829551,0.241315407407,D4,down,other
6820426E19Rik,0.815498681657699,-0.0315238485998531,-6.69176128986367,5.34000799322028,0.904752930147175,0.997416696799184,0.0418323830688993,0.130070202324531,D7,down,other
Rgs16,2.08329203858184,1.54063703802948,2.59489625205118,3.33016135825761,0.0739342665645941,0.181683233107423,0.0136986840505243,0.0010029194562251,D14,up,late_D14
Tmem216,0.342016486266147,0.559310354009909,-0.0172326659072787,1.61730243039839,0.692966636774636,0.389809200264454,0.988042725215283,0.0021255384693169,D14,up,late_D14
Tceal3,-2.63659455717306,-2.61793694537697,-1.73555449654357,-1.75811506801436,0.0541131418327706,0.0394826522092592,0.182938252536299,0.222160302744046,D1,down,other
