Gene_Set,Gene,D1_log2FC,D1_padj,D4_log2FC,D4_padj,D7_log2FC,D7_padj,D14_log2FC,D14_padj,peak_timepoint,peak_log2FC
DAM Signature,Spp1,6.88806512013869,2.5617127557824198e-12,7.69321269884402,1.5847974582138202e-15,5.69905607504723,2.83425733019277e-08,7.56955436335728,9.796669466208321e-15,D4,7.69321269884402
DAM Signature,Itgax,0.547971608776632,0.724767973484252,1.64009776786671,0.0922881814573793,1.92655542101558,0.0404727823321634,3.91866577722696,2.86409091661576e-06,D14,3.91866577722696
DAM Signature,Axl,-0.755266492782004,0.609173698526778,1.61727736671142,0.126883323504732,2.49494414630451,0.0114730380976342,3.04646941655537,0.0013039012829913,D14,3.04646941655537
DAM Signature,Lgals3,6.22810051358569,1.44002488984428e-08,6.96187918351229,9.484588868598639e-11,3.07170081651313,0.0145132090179687,5.92212516640423,1.20581282762693e-07,D4,6.96187918351229
DAM Signature,Clec7a,3.26441572814548,1.45413496939199e-14,4.01056971523515,3.47931993902951e-22,3.04691453336069,1.3363335104136999e-12,5.71395064121828,4.32673628117899e-45,D14,5.71395064121828
DAM Signature,Cd9,0.501757281861033,0.384773585905617,1.49397857107144,0.0003843579027047,0.50316911783615,0.287452926524924,0.851547688715588,0.075305262272375,D4,1.49397857107144
DAM Signature,Csf1,1.75546530351066,0.0161732407013943,2.68477611039223,4.71163076241632e-05,0.741928494620743,0.330255391055105,1.76269956489983,0.0156888449879616,D4,2.68477611039223
DAM Signature,Lyz2,1.53942721939333,0.0652980849280975,5.10074595020811,6.51445597279884e-15,3.27836987767186,4.95462480449615e-06,4.82604490861622,4.26602965913523e-13,D4,5.10074595020811
DAM Signature,Ctsl,0.766333466420287,0.0323517814414339,2.20434450569806,3.4750452298698e-14,0.843311339371144,0.0149644224300183,1.07016832058369,0.001231209047316,D4,2.20434450569806
DAM Signature,Ctsb,1.64770610161259,0.0001855943297365,2.72772169173712,1.17017670231636e-11,2.26097695593417,9.46042409680059e-08,2.23900804117179,8.95698149896139e-08,D4,2.72772169173712
DAM Signature,Ctsd,-0.611786844337461,0.609777659865488,2.1129898660264,0.0065360305808289,1.75159302727443,0.0313482572850154,1.75850980192138,0.033146509333438,D4,2.1129898660264
DAM Signature,Gpnmb,3.44957263986818,0.0132424400058223,7.49929139693072,2.78992845653399e-10,4.68713515146302,0.000394678746114,5.81371404843777,3.37605523197561e-06,D4,7.49929139693072
DAM Signature,Igf1,0.697628910766418,0.36437854205056,4.50527840734599,2.25177455002064e-19,4.93673958262658,7.28885796092018e-23,3.90325038784,1.67203436171064e-14,D7,4.93673958262658
DAM Signature,Lilrb4a,5.70492813589131,7.45177902015614e-24,5.73535609677593,6.62688168613747e-24,2.24815739692196,0.0006639463280082,4.51144536328741,1.44104337859019e-14,D4,5.73535609677593
Homeostatic Microglia,P2ry12,-4.0897013751773,3.98982508742579e-10,-2.5124737453624,0.0003680204812714,-2.65951153081013,0.0002172753604169,-2.14666122943513,0.003656146739171,D1,-4.0897013751773
Homeostatic Microglia,Tmem119,-2.65511528504285,0.000480615529768,-1.99233902711596,0.011618864253584,-1.57574193813397,0.0557326355666556,-1.48251327659166,0.0840494535959174,D1,-2.65511528504285
Homeostatic Microglia,Cx3cr1,-1.19182104544571,0.420634251698428,0.178463075907838,0.93520881114662,-1.07943147222224,0.37248608148569,-0.630699169439161,0.706573847842204,D1,-1.19182104544571
Homeostatic Microglia,Siglech,-3.78022470583768,1.43159380851181e-07,-1.93558590676051,0.0158615045861449,-2.23200894699723,0.0052886456908295,-1.59572857223783,0.0622949448764153,D1,-3.78022470583768
Homeostatic Microglia,Hexb,-1.03167647541277,0.15576748970261,-0.298331793204341,0.764055488662448,-0.414829031967251,0.561987074291993,-0.452893865031024,0.606406804404168,D1,-1.03167647541277
Homeostatic Microglia,Csf1r,-1.63024610317397,0.145377729773907,-1.18255421384893,0.307026329930429,-0.983394107890276,0.350007553126087,-0.482447369305553,0.750819024622234,D1,-1.63024610317397
Homeostatic Microglia,Fcrls,0.104092122312579,0.953726841491157,0.952815037505324,0.171894515029394,0.448699248160456,0.524338830923513,0.370624315921813,0.689834335659526,D4,0.952815037505324
Homeostatic Microglia,Gpr34,-2.45782500562831,0.0060833698572369,-1.22429104002696,0.233710513425474,-1.75782034680237,0.0592541128065169,-1.56283049404162,0.112304502220522,D1,-2.45782500562831
Homeostatic Microglia,Selplg,-3.34470434386169,2.75150822110067e-12,-2.40434661796442,1.44635856025001e-06,-2.32171684941274,7.35730374379363e-06,-1.73983443195191,0.0012101043360694,D1,-3.34470434386169
Lipid Metabolism,Fasn,0.53790800701535,0.793389220828968,-1.85869015703102,0.119366138721664,-0.457266002065442,0.73162121741613,-1.17891440053277,0.383639674072619,D4,-1.85869015703102
Lipid Metabolism,Acaca,1.21238709908414,0.413522721100985,-0.287555160340624,0.889004451807891,0.449277054022065,0.742260306273251,0.802203464775919,0.60967049511541,D1,1.21238709908414
Lipid Metabolism,Scd1,-3.14079894465113,0.0149503835738883,-3.71105374804804,0.002232511945244,-4.29206653910905,0.0004506708907409,-1.4449809873642,0.338384485165059,D7,-4.29206653910905
Lipid Metabolism,Scd2,-0.32300105882652,0.825365375185847,-2.04441013275364,0.0052214230885731,-0.338373678782357,0.704193256854935,-0.338717407800278,0.777766563182274,D4,-2.04441013275364
Lipid Metabolism,Elovl1,0.49152412064408,0.459787862295572,0.771569764758558,0.154169329997604,0.472019197581762,0.374352479936612,0.0578827145491059,0.962120192831896,D4,0.771569764758558
Lipid Metabolism,Fads1,-0.731037574098486,0.459571412094362,-2.268206007989,0.0011845716394233,-0.567781162546926,0.483888865790249,-0.616625379733646,0.517484767064441,D4,-2.268206007989
Lipid Metabolism,Fads2,-2.52855641715035,0.107136144499632,-3.43917246279132,0.0138903837642067,-2.0782391438313,0.156956229976908,-1.5576123501345,0.361252092038395,D4,-3.43917246279132
Lipid Metabolism,Cpt1a,0.0393242893646619,0.972287705677062,0.952832345068692,0.0021969842716011,1.37707048423913,4.80695140695798e-06,0.688110274129075,0.0443003559148476,D7,1.37707048423913
Lipid Metabolism,Acox1,0.116817235664226,0.931626136382248,-0.4083626075895,0.578789219142925,-0.0528106767264613,0.946936889276565,0.0232021536494117,0.994782658864697,D4,-0.4083626075895
Lipid Metabolism,Acadl,0.617879981884844,0.395466602611755,0.443353254420406,0.556158579295771,1.07431639905443,0.0630482385896505,0.141258724839548,0.89464307198528,D7,1.07431639905443
Lipid Metabolism,Acadm,-0.357862455104513,0.740891042742908,-0.274386365721611,0.781626147158828,0.234517411171274,0.757603895607561,-0.687329386789177,0.364983230717604,D14,-0.687329386789177
