gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Ccdc51,0.1017148,0.06732683,-0.5945526,3.927952532896689e-21,8788,9002,1.35267558981825e-20,True
Det1,0.08929411,0.05476826,-0.70420796,3.9327612882074104e-21,8788,9002,1.353777443440628e-20,True
Trmt1,0.2514948,0.19189541,-0.39003012,3.9588343741663454e-21,8788,9002,1.3621952388491397e-20,False
Aatf,0.3695723,0.30797043,-0.26298678,3.969129365042403e-21,8788,9002,1.3651792865127448e-20,False
Chchd4,0.09604031,0.060346134,-0.66949135,4.0266557511946805e-21,8788,9002,1.38439946198614e-20,True
Cryl1,0.20472935,0.14832838,-0.46465543,4.047066895983239e-21,8788,9002,1.3908486027739782e-20,False
Prr13,0.20136945,0.15251097,-0.40070242,4.145888216385036e-21,8788,9002,1.424228565310221e-20,False
Smarcc2,0.4254771,0.35656112,-0.2548665,4.290882789472544e-21,8788,9002,1.4734366084829598e-20,False
Shtn1,0.6981599,0.60721076,-0.20132916,4.3031616982386946e-21,8788,9002,1.477050157783849e-20,False
Hnrnpf,0.36495912,0.31070137,-0.23213723,4.366259852858161e-21,8788,9002,1.4980972325487647e-20,False
Pgls,0.12415642,0.08394631,-0.564064,4.435121048865164e-21,8788,9002,1.5211036846352475e-20,True
Brix1,0.117988385,0.080056645,-0.55897295,4.562968974626313e-21,8788,9002,1.564313691260439e-20,True
Cemip2,0.19607542,0.31709853,0.6932417,4.766628367550491e-21,8788,9002,1.6334682059552865e-20,True
Sar1b,0.44404814,0.37971,-0.22576308,4.93507249489456e-21,8788,9002,1.690503456821984e-20,False
Slc23a1,0.35326895,0.2867325,-0.30096677,4.976221796147062e-21,8788,9002,1.7039053305244295e-20,False
Csnk1g2,0.26853576,0.20905574,-0.36107373,5.256537210180806e-21,8788,9002,1.7991557180329992e-20,False
Zfp867,0.12746744,0.086479925,-0.55915564,5.389050978579862e-21,8788,9002,1.8437611176410077e-20,True
Gm15883,0.30883762,0.23930655,-0.3678529,5.519430887266455e-21,8788,9002,1.88760049002328e-20,False
2210016F16Rik,0.1021112,0.06491524,-0.65270346,5.7399508814648216e-21,8788,9002,1.9622188852402902e-20,True
Med6,0.19032827,0.14578307,-0.38443524,5.847857436194868e-21,8788,9002,1.998295069484461e-20,False
Zfp318,0.29863948,0.25184095,-0.24580233,5.888071760885039e-21,8788,9002,2.011219964446847e-20,False
Arcn1,0.29574135,0.23753157,-0.31609708,5.970433266204897e-21,8788,9002,2.0385249621989364e-20,False
D930048N14Rik,0.14908046,0.10596821,-0.49206626,6.110659681339169e-21,8788,9002,2.085556993878557e-20,False
Slc25a22,0.4278947,0.3541003,-0.2730276,6.394694580285002e-21,8788,9002,2.181612550849056e-20,False
Calu,0.1662515,0.124181174,-0.4206271,6.462768083642133e-21,8788,9002,2.2039427599384378e-20,False
Tbk1,0.49737707,0.42752844,-0.21827221,6.7309326946606335e-21,8788,9002,2.2944625915794127e-20,False
Klhl12,0.23880678,0.18523158,-0.36633912,6.746215101299745e-21,8788,9002,2.2987406904509825e-20,False
Nufip2,0.67677546,0.5970639,-0.18076345,6.84544194091764e-21,8788,9002,2.3316074108882637e-20,False
Plpp1,0.16553049,0.27975696,0.7567213,6.991973994304621e-21,8788,9002,2.380553509270934e-20,True
Cops8,0.1783007,0.13048978,-0.45007917,7.024421264592553e-21,8788,9002,2.3906333373388814e-20,False
Ilkap,0.22623889,0.17765096,-0.34862712,7.071854589457885e-21,8788,9002,2.4058031807969748e-20,False
4930509H03Rik,0.08260953,0.0497745,-0.729751,7.097807369235053e-21,8788,9002,2.413656159958549e-20,True
Prkca,0.61719656,0.5305479,-0.21820877,7.154307249007182e-21,8788,9002,2.4318863388241382e-20,False
Ap3m1,0.44472465,0.5845557,0.39435056,7.188018731542322e-21,8788,9002,2.4423587071270417e-20,False
Cog8,0.13026734,0.09048724,-0.5252027,7.3605365300274e-21,8788,9002,2.499967453658479e-20,True
Lama4,0.057122864,0.123300835,1.1086886,7.377783224451394e-21,8788,9002,2.504813973660596e-20,True
Sdc2,0.9992191,1.1174684,0.16134566,7.560134956049631e-21,8788,9002,2.565688397952624e-20,False
