gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Ptgr2,0.14382535,0.18435475,0.3579462,0.1207873793898198,599,503,0.38602243431925204,False
Rhod,0.15577474,0.20764682,0.41443917,0.1208212374082561,599,503,0.38602243431925204,False
Gosr1,0.15603173,0.19355397,0.31071734,0.1208807989076874,599,503,0.38606157302807403,False
Tom1l1,0.16042408,0.10546379,-0.6046747,0.12096399457134348,599,503,0.3861761329038195,False
Trps1,0.28455314,0.3376667,0.24682206,0.12111627924625744,599,503,0.38630760957477533,False
Nufip2,0.6730025,0.58691275,-0.19743434,0.12113065767646064,599,503,0.38630760957477533,False
Ube3a,0.46636656,0.5348874,0.19773129,0.12114720256150124,599,503,0.38630760957477533,False
Cnpy3,0.07948937,0.11726164,0.5603132,0.12122567346391735,599,503,0.38640683416623656,False
Rassf3,0.26791716,0.32245588,0.26722375,0.12128465540320293,599,503,0.386443884455344,False
Atg2b,0.13876379,0.16672672,0.26467997,0.1215185048438562,599,503,0.38698598447451055,False
2210016L21Rik,0.15283634,0.110862136,-0.46286374,0.12159202677675635,599,503,0.38698598447451055,False
Pdgfra,0.8221931,0.9211593,0.16395457,0.12159706669027513,599,503,0.38698598447451055,False
Cs,0.3058539,0.23700273,-0.36780196,0.12183683072603174,599,503,0.38726442689665047,False
Camkmt,0.27497783,0.2168529,-0.34245792,0.12184818484338408,599,503,0.38726442689665047,False
Ctnna1,0.70734286,0.78962106,0.15872955,0.1218602580112736,599,503,0.38726442689665047,False
Psme1,0.20826802,0.26811182,0.3642389,0.12190495685888303,599,503,0.38726442689665047,False
Ubac2,0.2631646,0.319,0.277495,0.12192185204626166,599,503,0.38726442689665047,False
Hivep3,0.40884286,0.4765036,0.22089063,0.12214483160571966,599,503,0.3874791894322034,False
Nudcd1,0.09856337,0.059917454,-0.71713245,0.12216130069693626,599,503,0.3874791894322034,False
Rrbp1,1.415595,1.3535421,-0.064664245,0.12217319018993243,599,503,0.3874791894322034,False
Acsl5,0.4009175,0.3344485,-0.2614499,0.1221794061775808,599,503,0.3874791894322034,False
Creld1,0.13026345,0.10093736,-0.3676506,0.12231653680739248,599,503,0.3876212085595781,False
Naprt,0.10119369,0.0707154,-0.5164093,0.12236618562225524,599,503,0.3876212085595781,False
Rpl12,0.17770056,0.12952852,-0.45587677,0.12243965886847129,599,503,0.3876212085595781,False
Dhx40,0.18517995,0.22470601,0.27897388,0.12244618761046068,599,503,0.3876212085595781,False
Slc44a2,0.12512358,0.16742526,0.4198725,0.12246170044933731,599,503,0.3876212085595781,False
Lin7a,0.33737892,0.40160915,0.25135398,0.12288025592319567,599,503,0.38879522618583817,False
Zbtb8os,0.060738362,0.09935217,0.7090215,0.12319028885982308,599,503,0.38945614137692935,False
Rps6ka3,0.41765574,0.4769685,0.19153684,0.12321627550401221,599,503,0.38945614137692935,False
Tnrc6a,0.7725474,0.8684853,0.16885725,0.1232323231660823,599,503,0.38945614137692935,False
Pex16,0.1622239,0.11672735,-0.47449735,0.12339601258949642,599,503,0.3898224787960863,False
Ankhd1,0.7918372,0.89127344,0.17064394,0.12346920762497632,599,503,0.38990276092097786,False
Otulinl,0.11133279,0.14335445,0.36441883,0.12367723140404986,599,503,0.3903961573793726,False
Slc25a30,0.12681451,0.08343236,-0.60344994,0.12376576301033153,599,503,0.3903961573793726,False
Becn1,0.20043191,0.24456456,0.2869734,0.12376897783583786,599,503,0.3903961573793726,False
Pcbd2,0.20566425,0.1538362,-0.41865975,0.12384715023252026,599,503,0.39049178744102214,False
Smc1a,0.38995713,0.45789766,0.2316548,0.12394752650494545,599,503,0.3906573257166299,False
Nacc2,0.08923552,0.1305549,0.5484554,0.12407185306741252,599,503,0.3908981934479097,False
Coq9,0.14701568,0.17666247,0.26486105,0.124197446592079,599,503,0.3911428653768293,False
Zfp780b,0.09729202,0.121833175,0.32421517,0.12442676535253469,599,503,0.3915887436987322,False
Fbxl17,1.569201,1.6798841,0.09832546,0.12449207684882178,599,503,0.3915887436987322,False
Echdc1,0.25557712,0.19418435,-0.3961533,0.12452641497377326,599,503,0.3915887436987322,False
Ephx2,0.37093025,0.29851007,-0.313274,0.1245309791541924,599,503,0.3915887436987322,False
Cpsf2,0.119773634,0.07941611,-0.59219533,0.12463522978500086,599,503,0.39173166249933766,False
Socs2,0.36216974,0.30111197,-0.26628527,0.12467244209690931,599,503,0.39173166249933766,False
Napg,0.35566413,0.42358023,0.2520547,0.12474948114546318,599,503,0.3917451262943307,False
Tbk1,0.37729284,0.44596475,0.24118614,0.12477274304399087,599,503,0.3917451262943307,False
Sfpq,0.78693897,0.87582636,0.15437452,0.1250782894296971,599,503,0.3922643724785392,False
Gm32031,0.09604568,0.059405606,-0.6921965,0.1251190384407123,599,503,0.3922643724785392,False
Rbmxl1,0.12365132,0.08731906,-0.5014241,0.1251287109030375,599,503,0.3922643724785392,False
H2-Eb1,0.17769417,0.22417484,0.33505976,0.12513041195608302,599,503,0.3922643724785392,False
Orc4,0.3583213,0.41529438,0.21282527,0.1252810515488509,599,503,0.3924639362551262,False
F2,0.549282,0.47264248,-0.21675524,0.12529165537428102,599,503,0.3924639362551262,False
Mettl27,0.07366755,0.10745904,0.54407054,0.12533836003441898,599,503,0.3924639362551262,False
Paf1,0.12791684,0.097473204,-0.39177677,0.12541435366832412,599,503,0.39254229493280407,False
Xpnpep1,0.15644664,0.19528988,0.3197632,0.12545959622362168,599,503,0.39254229493280407,False
Nlrp5-ps,0.1918307,0.13919656,-0.46242586,0.1256852947431059,599,503,0.3930977405533707,False
Scarf1,0.12921976,0.16455394,0.34849435,0.12580108836245385,599,503,0.39312776404429484,False
Phldb1,0.18259686,0.22938092,0.32892236,0.12583680024184332,599,503,0.39312776404429484,False
Ccdc68,0.63522226,0.7365507,0.21349214,0.12583942643182575,599,503,0.39312776404429484,False
Sec22a,0.2173746,0.161109,-0.43191457,0.12598017405997214,599,503,0.3933777792654037,False
Wipf2,0.14632733,0.20359969,0.47625893,0.12601587193624575,599,503,0.3933777792654037,False
Sptan1,0.5071841,0.58223975,0.19906722,0.12609843995534853,599,503,0.3934849981015847,False
Elmo1,0.35801336,0.41831034,0.22450224,0.12621806827164864,599,503,0.39370773589321595,False
Ilf3,0.20115387,0.15816689,-0.34665707,0.1263184503962016,599,503,0.393870292408485,False
mt-Nd1,0.39872244,0.4811675,0.27109239,0.1263700127525744,599,503,0.39388055922880333,False
Cnnm2,0.08910371,0.12629499,0.50276357,0.12643379769195395,599,503,0.3939186041025934,False
Atp5g1,0.08842415,0.059290875,-0.57582986,0.12647876749372483,599,503,0.3939186041025934,False
Mill2,0.45686933,0.5295484,0.21293774,0.1266008321583844,599,503,0.39405777064122094,False
