gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Utrn,1.4064631,1.5450113,0.13553645,0.858408269459172,50,32,1.0,False
Slc4a4,0.8934904,0.9343189,0.0644558,0.8588543196814165,50,32,1.0,False
Ddx3y,0.48889926,0.5318523,0.121464744,0.8600428690490964,50,32,1.0,False
Phkb,0.6104125,0.562866,-0.116973065,0.8600428690490964,50,32,1.0,False
Ankrd17,0.9139782,1.0033484,0.13457689,0.8602238030341017,50,32,1.0,False
Thpo,0.12524624,0.18793577,0.5850884,0.8606079790244708,50,32,1.0,False
Agfg2,0.13030678,0.19958639,0.6147171,0.8606079790244708,50,32,1.0,False
Fndc3b,1.1131907,1.10753,-0.007354289,0.8614253180042358,50,32,1.0,False
Derl2,0.2397625,0.23052627,-0.056650735,0.8618625118625609,50,32,1.0,False
Timm9,0.23706906,0.2376518,0.0035403867,0.8618625118625609,50,32,1.0,False
Hsd17b12,0.3518329,0.34099394,-0.045131274,0.8621914218913679,50,32,1.0,False
Tmed10,0.3608427,0.37983054,0.07396583,0.8621914218913679,50,32,1.0,False
Wnk2,0.39997703,0.4227773,0.07996128,0.8621914218913679,50,32,1.0,False
Mbtd1,0.5960723,0.63206035,0.08456123,0.8628736879929706,50,32,1.0,False
Sbno1,0.54860854,0.5909268,0.107183546,0.8630880971972967,50,32,1.0,False
Adra1b,0.6524228,0.70929956,0.12057012,0.8630880971972967,50,32,1.0,False
Flot2,0.24835514,0.20782776,-0.25690296,0.8634851464269897,50,32,1.0,False
Cdc123,0.30421114,0.23952225,-0.34478518,0.8634851464269897,50,32,1.0,False
Ccdc88c,0.3111117,0.28147614,-0.14437118,0.8634851464269897,50,32,1.0,False
Neb,0.32690686,0.31209967,-0.066851914,0.8636310137140519,50,32,1.0,False
Lamc3,0.39979762,0.37067184,-0.10909907,0.8636310137140519,50,32,1.0,False
Pot1b,0.30667475,0.2953231,-0.05439712,0.8636310137140519,50,32,1.0,False
Sec14l2,0.61883295,0.6004761,-0.043436047,0.8644596530016857,50,32,1.0,False
Ring1,0.3962176,0.43407923,0.1316336,0.8645128081220363,50,32,1.0,False
Cbx1,0.47643822,0.40303153,-0.24134135,0.8645128081220363,50,32,1.0,False
Cxcl12,0.38811088,0.4022659,0.051667485,0.8647701578863324,50,32,1.0,False
Camta1,0.21033232,0.21854688,0.055246517,0.8649421403179701,50,32,1.0,False
Phrf1,0.21834032,0.24783173,0.18270381,0.8649421403179701,50,32,1.0,False
Uvssa,0.19897236,0.22471714,0.17545909,0.8649421403179701,50,32,1.0,False
Lin52,0.210186,0.23967083,0.18930337,0.8649421403179701,50,32,1.0,False
Gm38266,0.16960388,0.18018141,0.08723103,0.8649421403179701,50,32,1.0,False
Rabgap1,0.7769711,0.8384936,0.10992516,0.8653710712704467,50,32,1.0,False
Spns2,0.26117042,0.25111532,-0.056619342,0.8661931225783581,50,32,1.0,False
Spr,0.20108236,0.18681835,-0.106095634,0.8661931225783581,50,32,1.0,False
Myo9b,0.3305386,0.3896302,0.23722062,0.8668095637491748,50,32,1.0,False
