gene,mean_control,mean_7dpi,log2FC,pval,n_control,n_7dpi,FDR,significant
Wdtc1,0.13045089,0.16324815,0.3233378,0.012225433667839852,1503,1879,0.055780313939227534,False
Fetub,0.20374505,0.24853516,0.28655735,0.012259231771251551,1503,1879,0.055902096876907066,False
Lonp2,0.9360345,1.0224395,0.12736875,0.012281180409050805,1503,1879,0.05595396161015254,False
Lcp2,1.3901299,1.3022896,-0.09416241,0.012284832405381826,1503,1879,0.05595396161015254,False
Zfp507,0.12138073,0.15555492,0.3576237,0.012292121352823458,1503,1879,0.055954760741498445,False
Ash2l,0.10355216,0.13241112,0.3543632,0.01237745573546173,1503,1879,0.05631062279649622,False
Numa1,0.46986115,0.5370862,0.19288078,0.012385370903081817,1503,1879,0.05631406215239398,False
Zfp655,0.109758705,0.07932844,-0.46792164,0.012410870627824692,1503,1879,0.05639740517531429,False
Zfp148,0.8171348,0.896933,0.1344105,0.012454265226627669,1503,1879,0.05656192279021549,False
Trf,2.6182804,2.556828,-0.03426318,0.012489864257452745,1503,1879,0.05669086684888822,False
Fli1,1.1256378,1.0307273,-0.12706816,0.01250448086428397,1503,1879,0.056724478937980216,False
Cd38,1.081871,0.98714304,-0.13218464,0.012577567533089399,1503,1879,0.05702313902898052,False
Twf2,0.12921122,0.09565692,-0.4333988,0.0125989489223665,1503,1879,0.05708717293970904,False
Selenoi,0.25366583,0.30103904,0.24693191,0.012641826180229111,1503,1879,0.057248477106322505,False
Arhgap25,0.74681455,0.6619714,-0.17395636,0.012699450898306406,1503,1879,0.057476341062185375,False
Cyfip1,0.881788,0.7925262,-0.15395483,0.012731646233597273,1503,1879,0.05758891850113637,False
Cemip2,0.3142699,0.37009862,0.23583646,0.012762517138941972,1503,1879,0.0576953792039756,False
Atp6v0c,0.19638856,0.1447062,-0.44032183,0.012818459536222014,1503,1879,0.05791499294194277,False
Sema4b,0.2170324,0.16800949,-0.36917388,0.012867139040909133,1503,1879,0.05810155895280783,False
Rfx3,0.14411387,0.1839603,0.35196865,0.01288341622005556,1503,1879,0.058141682149717176,False
Luc7l,0.40224445,0.33778024,-0.25191918,0.01291422918539672,1503,1879,0.05824732039697855,False
Klc4,0.07047418,0.095635675,0.43991622,0.012948723126466662,1503,1879,0.05836943043712709,False
Mydgf,0.08728864,0.05625101,-0.6330042,0.012958085173189604,1503,1879,0.05837817753282327,False
Stx17,0.28295022,0.22754803,-0.31425294,0.01299595412656697,1503,1879,0.05851526912397011,False
Tmem150b,0.16502886,0.12693284,-0.37839064,0.013047824713715414,1503,1879,0.05871521121171937,False
Ctif,0.43066835,0.4958674,0.20333306,0.013066855318800486,1503,1879,0.05876722923824164,False
Tmem181a,0.17821586,0.13287582,-0.42327118,0.013114297748043858,1503,1879,0.05891604889000139,False
Txndc5,0.1306235,0.1618424,0.30896223,0.013114925197863263,1503,1879,0.05891604889000139,False
Gm5834,0.60843855,0.680984,0.16248414,0.013222866715014367,1503,1879,0.059367048847204916,False
Gmip,0.6796718,0.59997934,-0.17989731,0.013232715535819554,1503,1879,0.05937737615787599,False
Ermard,0.34225178,0.39106265,0.19228905,0.01329489575870523,1503,1879,0.05960928786964439,False
Pdk1,0.18299891,0.22747247,0.31370276,0.01329955507389091,1503,1879,0.05960928786964439,False
Ckb,0.10737915,0.07655399,-0.487624,0.013381724433703128,1503,1879,0.05994341935962916,False
Rsbn1l,0.5125583,0.580724,0.18010356,0.013417537505789334,1503,1879,0.06006963575443307,False
Gm26520,0.120517105,0.089393735,-0.43057594,0.013495840187215986,1503,1879,0.06038582418238962,False
Abhd16a,0.16230172,0.20430845,0.3318879,0.013504153826837902,1503,1879,0.06038867197379587,False
Antxr2,0.15193567,0.17811416,0.22920212,0.013586300341758992,1503,1879,0.06072149914106604,False
Copa,0.59519136,0.5168188,-0.20365822,0.013602595951841039,1503,1879,0.060759806789995235,False
Pcbd1,0.15616505,0.11292305,-0.46737808,0.013636813295292812,1503,1879,0.06087807796865679,False
Ppp1r15b,0.101797484,0.07082852,-0.5226807,0.013695462867769804,1503,1879,0.06110522457054865,False
Golga7,0.17521715,0.21801233,0.31510422,0.013771272734323659,1503,1879,0.061405027598566926,False
Zfp799,0.16758919,0.123756975,-0.43711454,0.013786856545977964,1503,1879,0.061405027598566926,False
Srsf7,0.7973904,0.7121391,-0.16310547,0.013789383150428684,1503,1879,0.061405027598566926,False
Ntpcr,0.112824485,0.08427283,-0.42050785,0.01379388301127228,1503,1879,0.061405027598566926,False
Pltp,0.40710628,0.3374958,-0.27046284,0.013806574400187847,1503,1879,0.061426761443369685,False
Gm49125,0.16085827,0.11825806,-0.4435288,0.013838369413715326,1503,1879,0.06153341651118414,False
Arhgap42,0.74382937,0.826394,0.15183876,0.01386063574684082,1503,1879,0.06159760496307903,False
Anapc16,0.22269239,0.17092605,-0.38148388,0.013933728470781193,1503,1879,0.061866471334391236,False
Calhm2,0.1679075,0.12742206,-0.3977788,0.013936865904467488,1503,1879,0.061866471334391236,False
Rab26os,0.10223216,0.0763484,-0.42070132,0.014086837500119399,1503,1879,0.062496933883778444,False
Gm45051,0.104505874,0.071260154,-0.55177325,0.014140849020245419,1503,1879,0.0626863584184604,False
Uroc1,0.5829617,0.6684277,0.19733879,0.014145472437422731,1503,1879,0.0626863584184604,False
Tmem165,0.21738927,0.16778474,-0.37347314,0.014180519952494414,1503,1879,0.06280114026313457,False
Lbp,0.19785477,0.24041909,0.28098056,0.014188512198435789,1503,1879,0.06280114026313457,False
Zfp292,0.67640376,0.7490788,0.14721207,0.014195325119228741,1503,1879,0.06280114026313457,False
Rdh16f2,0.4096263,0.4694186,0.19652168,0.01422001347843386,1503,1879,0.06287500057412071,False
Apoc1,2.0876884,2.0159333,-0.05045609,0.014228805184691336,1503,1879,0.06287852897909103,False
Gm13483,0.06328345,0.08809248,0.47654945,0.01435973495209769,1503,1879,0.06342149081033151,False
Chpt1,0.23401931,0.27929154,0.25504428,0.014419122598040617,1503,1879,0.06364804621559343,False
1300017J02Rik,0.3418659,0.39779785,0.21854565,0.01446391332192536,1503,1879,0.06380995075169091,False
Scnn1a,0.074732594,0.09635279,0.36615622,0.014492455016817226,1503,1879,0.06390002867841048,False
Heatr6,0.2861832,0.3383807,0.24163045,0.014519024657679574,1503,1879,0.06398131538224511,False
Dennd1c,0.4194707,0.35441166,-0.24308081,0.014610587690647868,1503,1879,0.06434875855242785,False
Sdr42e1,0.3525545,0.2858532,-0.30247635,0.014632086940495751,1503,1879,0.06435700461984317,False
Fam149b,0.19090526,0.14724943,-0.37437084,0.014632519174209685,1503,1879,0.06435700461984317,False
Dusp16,0.26858592,0.31787905,0.24301094,0.014637004991723802,1503,1879,0.06435700461984317,False
Acvrl1,0.13148718,0.09614501,-0.45123523,0.014678645640285534,1503,1879,0.06450403721032738,False
Fnip1,0.6010116,0.67307246,0.16334333,0.014712922805578779,1503,1879,0.06461856548781836,False
Grb7,0.10735609,0.13646251,0.34581426,0.014772690965049542,1503,1879,0.06484485889011143,False
Acp2,0.43624958,0.3673276,-0.24802442,0.01480693348997311,1503,1879,0.06495891736315029,False
Pacc1,0.11398921,0.149022,0.38633075,0.014849712782997864,1503,1879,0.06511027912545217,False
Brwd1,0.41585854,0.47642097,0.19610004,0.014888502893814472,1503,1879,0.06524399095417528,False
Polg2,0.06984982,0.090932086,0.38005474,0.014907169251928329,1503,1879,0.0652894172247596,False
Bbip1,0.18695925,0.14282346,-0.3882526,0.014916047995895751,1503,1879,0.06529194965816137,False
D2hgdh,0.092730105,0.06874566,-0.43122706,0.01493871556909447,1503,1879,0.0653548034852598,False
Phka2,0.36921933,0.4258422,0.20578893,0.014974898399110889,1503,1879,0.06547668193852488,False
5031425E22Rik,0.4481098,0.5144859,0.19923784,0.015047379552898501,1503,1879,0.06575704864616645,False
Entpd5,0.10785948,0.13384853,0.31118885,0.015078901433813666,1503,1879,0.06585821137055985,False
Ap2a2,0.77298504,0.6941438,-0.15518478,0.015126136773328594,1503,1879,0.06601746442689353,False
Tmem150a,0.49772075,0.58254814,0.22699861,0.01513214955017659,1503,1879,0.06601746442689353,False
Sufu,0.11576841,0.07963059,-0.539282,0.015171002325708685,1503,1879,0.06612077664239314,False
Krt18,0.14513665,0.09728501,-0.576634,0.015172641983157847,1503,1879,0.06612077664239314,False
Notch2,0.37607127,0.43155962,0.19850454,0.015365826462132139,1503,1879,0.06692557638490111,False
Cryl1,0.27429885,0.22689278,-0.27362788,0.015403322203936955,1503,1879,0.06705176118216274,False
Tm9sf3,0.41337872,0.34482864,-0.26151514,0.015424350171406323,1503,1879,0.06710616064617375,False
Tm7sf2,0.15938878,0.111254975,-0.51828885,0.015490221071604396,1503,1879,0.06735548863971265,False
Rap1gap2,0.27511942,0.22235742,-0.30705297,0.015527439144184247,1503,1879,0.0674800200597532,False
Kras,0.3164999,0.25443304,-0.31480786,0.01563222507268506,1503,1879,0.06789789200537862,False
